year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author,journal
1899,0.0,0,0.0,0.0,0.0,0.0,0.0,193,0,0.0,MNRAS
1900,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1901,0.0,0,0.0,0.0,0.0,0.0,0.0,194,0,0.0,MNRAS
1902,0.0,0,0.0,0.0,0.0,0.0,0.0,179,0,0.0,MNRAS
1903,0.0,0,0.0,0.0,0.0,0.0,0.0,187,0,0.0,MNRAS
1904,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1905,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1906,0.0,0,0.0,0.0,0.0,0.0,0.0,186,0,0.0,MNRAS
1907,0.0,0,0.0,0.0,0.0,0.0,0.0,176,0,0.0,MNRAS
1908,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1909,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1910,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1911,0.0,0,0.0,0.0,0.0,0.0,0.0,190,0,0.0,MNRAS
1912,0.0,0,0.0,0.0,0.0,0.0,0.0,181,0,0.0,MNRAS
1913,0.0,0,0.0,0.0,0.0,0.0,0.0,163,0,0.0,MNRAS
1914,0.0,0,0.0,0.0,0.0,0.0,0.0,169,0,0.0,MNRAS
1915,0.0,0,0.0,0.0,0.0,0.0,0.0,191,0,0.0,MNRAS
1916,0.0,0,0.0,0.0,0.0,0.0,0.0,166,0,0.0,MNRAS
1917,0.0,0,0.0,0.0,0.0,0.0,0.0,177,0,0.0,MNRAS
1918,0.0,0,0.0,0.0,0.0,0.0,0.0,178,0,0.0,MNRAS
1919,0.0,0,0.0,0.0,0.0,0.0,0.0,177,0,0.0,MNRAS
1920,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0.0,MNRAS
1921,0.0,0,0.0,0.0,0.0,0.0,0.0,173,0,0.0,MNRAS
1922,0.0,0,0.0,0.0,0.0,0.0,0.0,155,0,0.0,MNRAS
1923,0.0,0,0.0,0.0,0.0,0.0,0.0,151,0,0.0,MNRAS
1924,0.0,0,0.0,0.0,0.0,0.0,0.0,175,0,0.0,MNRAS
1925,0.0,0,0.0,0.0,0.0,0.0,0.0,189,0,0.0,MNRAS
1926,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0.0,MNRAS
1927,0.0,0,0.0,0.0,0.0,0.0,0.0,192,0,0.0,MNRAS
1928,0.0,0,0.0,0.0,0.0,0.0,0.0,195,0,0.0,MNRAS
1929,0.0,0,0.0,0.0,0.0,0.0,0.0,169,0,0.0,MNRAS
1930,0.0,0,0.0,0.0,0.0,0.0,0.0,192,0,0.0,MNRAS
1931,0.0,0,0.0,0.0,0.0,0.0,0.0,185,0,0.0,MNRAS
1932,0.0,0,0.0,0.0,0.0,0.0,0.0,192,0,0.0,MNRAS
1933,0.0,0,0.0,0.0,0.0,0.0,0.0,186,0,0.0,MNRAS
1934,0.0,0,0.0,0.0,0.0,0.0,0.0,173,0,0.0,MNRAS
1935,0.0,0,0.0,0.0,0.0,0.0,0.0,181,0,0.0,MNRAS
1936,0.0,0,0.0,0.0,0.0,0.0,0.0,199,0,0.0,MNRAS
1937,0.0,0,0.0,0.0,0.0,0.0,0.0,168,0,0.0,MNRAS
1938,0.0,0,0.0,0.0,0.0,0.0,0.0,174,0,0.0,MNRAS
1939,0.0,0,0.0,0.0,0.0,0.0,0.0,172,0,0.0,MNRAS
1940,0.0,0,0.0,0.0,0.0,0.0,0.0,133,0,0.0,MNRAS
1941,0.0,0,0.0,0.0,0.0,0.0,0.0,88,0,0.0,MNRAS
1942,0.0,0,0.0,0.0,0.0,0.0,0.0,105,0,0.0,MNRAS
1943,0.0,0,0.0,0.0,0.0,0.0,0.0,112,0,0.0,MNRAS
1944,0.0,0,0.0,0.0,0.0,0.0,0.0,74,0,0.0,MNRAS
1945,0.0,0,0.0,0.0,0.0,0.0,0.0,116,0,0.0,MNRAS
1946,0.0,0,0.0,0.0,0.0,0.0,0.0,139,0,0.0,MNRAS
1947,0.0,0,0.0,0.0,0.0,0.0,0.0,109,0,0.0,MNRAS
1948,0.0,0,0.0,0.0,0.0,0.0,0.0,107,0,0.0,MNRAS
1949,0.0,0,0.0,0.0,0.0,0.0,0.0,131,0,0.0,MNRAS
1950,0.0,0,0.0,0.0,0.0,0.0,0.0,141,0,0.0,MNRAS
1951,0.0,0,0.0,0.0,0.0,0.0,0.0,139,0,0.0,MNRAS
1952,0.0,0,0.0,0.0,0.0,0.0,0.0,131,0,0.0,MNRAS
1953,0.0,0,0.0,0.0,0.0,0.0,0.0,138,0,0.0,MNRAS
1954,0.0,0,0.0,0.0,0.0,0.0,0.0,123,0,0.0,MNRAS
1955,0.0,0,0.0,0.0,0.0,0.0,0.0,128,0,0.0,MNRAS
1956,0.0,0,0.0,0.0,0.0,0.0,0.0,140,0,0.0,MNRAS
1957,0.0,0,0.0,0.0,0.0,0.0,0.0,126,0,0.0,MNRAS
1958,0.0,0,0.0,0.0,0.0,0.0,0.0,123,0,0.0,MNRAS
1959,0.0,0,0.0,0.0,0.0,0.0,0.0,124,0,0.0,MNRAS
1960,0.0,0,0.0,0.0,0.0,0.0,0.0,105,0,0.0,MNRAS
1961,0.0,0,0.0,0.0,0.0,0.0,0.0,77,0,0.0,MNRAS
1962,0.0,0,0.0,0.0,0.0,0.0,0.0,70,0,0.0,MNRAS
1963,0.0,0,0.0,0.0,0.0,0.0,0.0,82,0,0.0,MNRAS
1964,0.0,0,0.0,0.0,0.0,0.0,0.0,75,0,0.0,MNRAS
1965,0.0,0,0.0,0.0,0.0,0.0,0.0,79,0,0.0,MNRAS
1966,0.0,0,0.0,0.0,0.0,0.0,0.0,138,0,0.0,MNRAS
1967,0.0,0,0.0,0.0,0.0,0.0,0.0,118,0,0.0,MNRAS
1968,0.0,0,0.0,0.0,0.0,0.0,0.0,139,0,0.0,MNRAS
1969,0.0,0,0.0,0.0,0.0,0.0,0.0,171,0,0.0,MNRAS
1970,0.0,0,0.0,0.0,0.0,0.0,0.0,150,0,0.0,MNRAS
1971,0.0,0,0.0,0.0,0.0,0.0,0.0,174,0,0.0,MNRAS
1972,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1973,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1974,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1975,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1976,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1977,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1978,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1979,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1980,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1981,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1982,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1983,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1984,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1985,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1986,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1987,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1988,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1989,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1990,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1991,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1992,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1993,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1994,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1995,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1996,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1997,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1998,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
1999,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
2000,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
2001,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
2002,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
2003,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
2004,0.0,0,0.0,0.0,0.0,0.0,0.0,200,0,0.0,MNRAS
