year,avg_authors,max_authors,pct_1author,pct_2author,pct_3author,pct_4author,pct_5plus,num_papers,num_unique_authors,citation_pct_1author,journal
2020,12.24,106,3.5,12.0,9.5,7.0,68.0,200,1982,10.06763950648212,MNRAS
2021,16.765,135,1.0,7.5,10.0,9.5,72.0,200,2438,1.6451377041189374,MNRAS
2022,15.76,135,3.0,6.0,6.0,9.5,75.5,200,2563,1.9934860736747528,MNRAS
